CHROM,BIN_START,BIN_END,VARS,T1,T2,WEIGHTED_FST,rec
chr2L,8.0,1604.0,50,-0.051973684210526165,9.4625,-0.005492595425154681,0.0
chr2L,1604.0,3184.0,50,-0.07605263157894722,9.045,-0.008408251141951047,0.0
chr2L,3184.0,4877.0,50,-0.09776315789473672,8.6325,-0.01132501105065007,0.0
chr2L,4877.0,6767.0,50,-0.08828947368421036,8.8275,-0.0100016396130513,0.0
chr2L,6767.0,8133.0,50,-0.015263157894736713,8.739999999999998,-0.0017463567385282278,0.0
chr2L,8133.0,9874.0,50,-0.04421052631578932,8.69,-0.005087517412633984,0.0
chr2L,9874.0,11276.0,50,-0.019868421052631403,9.0775,-0.002188754729014752,0.0
chr2L,11276.0,13183.0,50,-0.04171052631578928,9.717499999999998,-0.004292310400389944,0.0
chr2L,13183.0,14399.0,50,-0.03263157894736829,8.945,-0.003648024477067444,0.0
chr2L,14399.0,16318.0,50,-0.09723684210526304,8.7725,-0.011084279521831069,0.0
chr2L,16318.0,17998.0,50,-0.016184210526315634,9.1325,-0.0017721555462705324,0.0
chr2L,17998.0,19794.0,50,-0.01631578947368404,8.985,-0.0018158919837155305,0.0
chr2L,19794.0,21362.0,50,-0.07342105263157878,9.145,-0.008028545941123979,0.0
chr2L,21362.0,23134.0,50,-0.06499999999999982,9.359999999999998,-0.0069444444444444284,0.0
chr2L,23134.0,25186.0,50,-0.043815789473684016,9.9825,-0.0043892601526355135,0.0
chr2L,25186.0,26642.0,50,-0.08092105263157884,8.8875,-0.00910504108372195,0.0
chr2L,26642.0,27941.0,50,-0.04552631578947357,8.065,-0.005644924462426978,0.0
chr2L,27941.0,30163.0,50,-0.05986842105263144,9.5125,-0.006293657929317365,0.0
chr2L,30163.0,31593.0,50,-0.026578947368420872,9.23,-0.002879625933740073,0.0
chr2L,31593.0,33321.0,50,-0.04065789473684192,9.3725,-0.004337998904971131,0.0
chr2L,33321.0,35063.0,50,-0.06657894736842089,8.964999999999998,-0.007426541814659331,0.0
chr2L,35063.0,37033.0,50,-0.05815789473684198,8.929999999999998,-0.006512642187776258,0.0
chr2L,37033.0,38848.0,50,-0.0330263157894735,9.4775,-0.003484707548348563,0.0
