CHROM,BIN_START,BIN_END,VARS,T1,T2,WEIGHTED_FST,rec
chr2R,0,9999,223,1.7434210526315783,32.70000000000001,0.053315628520843365,0.0
chr2R,10000,19999,238,2.121447368421052,33.792500000000004,0.0627786452147977,0.0
chr2R,20000,29999,241,1.796710526315789,35.5125,0.05059374942107114,0.0
chr2R,30000,39999,245,1.9953947368421048,35.58750000000001,0.056070101491875066,0.0
chr2R,40000,49999,223,1.8628947368421052,32.480000000000004,0.057355133523463823,0.0
chr2R,50000,59999,211,1.6411842105263152,29.1675,0.05626756528760831,0.0
chr2R,60000,69999,235,1.8969736842105247,35.5325,0.053387003003180895,0.0
chr2R,70000,79999,224,2.09078947368421,32.775,0.06379220362118107,0.0
chr2R,80000,89999,243,2.2077631578947363,36.0275,0.061279943318152424,0.0
chr2R,90000,99999,248,2.006842105263157,36.195,0.05544528540580625,0.0
chr2R,100000,109999,243,1.9115789473684208,34.655,0.055160263955227835,0.0
chr2R,110000,119999,231,1.9548684210526308,32.65749999999999,0.05985970821565127,0.0
chr2R,120000,129999,230,1.9080263157894728,34.02250000000001,0.056081308422058135,0.0
chr2R,130000,139999,242,2.040526315789473,36.43000000000001,0.0560122513255414,0.0
chr2R,140000,149999,239,1.9580263157894728,35.1225,0.05574848930997146,0.0
chr2R,150000,159999,221,1.8106578947368412,32.8975,0.05503937669235782,0.0
chr2R,160000,169999,236,1.9793421052631572,32.4925,0.060916891752347685,0.0
chr2R,170000,179999,243,2.176052631578947,35.78,0.06081756935659436,0.0
chr2R,180000,189999,238,1.8985526315789472,34.9025,0.05439589231656606,0.0
chr2R,190000,199999,233,1.784210526315789,34.349999999999994,0.05194208227993565,0.0
chr2R,200000,209999,224,2.066315789473684,32.040000000000006,0.0644917537288915,0.0
chr2R,210000,219999,246,1.895394736842105,37.0125,0.05120958424429867,0.0
chr2R,220000,229999,271,2.1018421052631573,38.765,0.05422009816234122,0.0
chr2R,230000,239999,249,1.8953947368421045,36.5125,0.05191084524045477,0.0
chr2R,240000,249999,221,1.902763157894736,31.2475,0.060893292516032836,0.0
chr2R,250000,259999,250,2.1285526315789465,36.8325,0.057790066695959985,0.0
chr2R,260000,269999,242,2.0459210526315785,34.0775,0.06003729888141966,0.0
chr2R,270000,279999,224,1.734736842105263,32.040000000000006,0.05414284775609434,0.0
chr2R,280000,289999,214,1.5523684210526307,30.48,0.05093072247548002,0.0
chr2R,290000,299999,267,2.063815789473684,40.2125,0.0513227426664267,0.0
chr2R,300000,309999,263,1.855921052631578,37.7625,0.04914719768637082,0.0
chr2R,310000,319999,239,1.8543421052631572,34.99249999999999,0.05299255855578075,0.0
chr2R,320000,329999,263,2.3055263157894728,39.145,0.05889708304481985,0.0
