CHROM,BIN_START,BIN_END,VARS,T1,T2,WEIGHTED_FST,rec
chr3L,0,9999,184,-0.6700000000000004,25.880000000000006,-0.025888717156105117,0.0
chr3L,10000,19999,192,-0.7553947368421056,27.1775,-0.027794857394613397,0.0
chr3L,20000,29999,186,-0.7452631578947372,26.260000000000005,-0.028380165951817863,0.0
chr3L,30000,39999,174,-0.5955263157894741,23.665,-0.02516485593870586,0.0
chr3L,40000,49999,191,-0.6692105263157897,26.765,-0.02500319545360694,0.0
chr3L,50000,59999,174,-0.5525000000000003,22.8725,-0.0241556454257296,0.0
chr3L,60000,69999,188,-0.7450000000000003,26.005000000000006,-0.028648336858296493,0.0
chr3L,70000,79999,186,-0.6813157894736845,24.97,-0.02728537402778072,0.0
chr3L,80000,89999,189,-0.5994736842105266,25.140000000000004,-0.023845413055311317,0.0
chr3L,90000,99999,184,-0.542368421052632,23.80500000000001,-0.022783802606705813,0.0
chr3L,100000,109999,205,-0.8196052631578952,29.1225,-0.02814336898129952,0.0
chr3L,110000,119999,185,-0.6684210526315792,24.950000000000006,-0.0267904229511655,0.0
chr3L,120000,129999,181,-0.6885526315789476,25.0325,-0.027506347012042253,0.0
chr3L,130000,139999,198,-0.6823684210526321,26.015,-0.026229806690472108,0.0
chr3L,140000,149999,187,-0.5769736842105266,23.7875,-0.02425533091794121,0.0
chr3L,150000,159999,189,-0.5609210526315793,24.082500000000003,-0.02329164549492699,0.0
chr3L,160000,169999,155,-0.5264473684210529,20.777500000000003,-0.025337377856866936,0.0
chr3L,170000,179999,190,-0.6865789473684214,25.870000000000005,-0.02653958049356093,0.0
chr3L,180000,189999,175,-0.6253947368421056,24.4825,-0.02554456190512021,0.0
chr3L,190000,199999,178,-0.6819736842105266,25.0575,-0.027216349763963945,0.0
chr3L,200000,209999,187,-0.6684210526315792,25.375000000000004,-0.026341716359865187,0.0
chr3L,210000,219999,165,-0.6467105263157898,23.137500000000006,-0.02795075208280021,0.0
chr3L,220000,229999,172,-0.5919736842105268,24.7475,-0.023920544871624483,0.0
chr3L,230000,239999,192,-0.6838157894736845,26.442500000000006,-0.02586048178022821,0.0
chr3L,240000,249999,177,-0.6385526315789478,24.28250000000001,-0.026296824115266043,0.0
chr3L,250000,259999,197,0.44381578947368383,26.017500000000005,0.017058356470594168,2.0760000000000003e-09
chr3L,260000,269999,236,1.4718421052631574,31.185,0.04719711737255596,2.0760000000000003e-09
chr3L,270000,279999,244,1.416578947368421,38.685,0.036618300306796456,2.0760000000000003e-09
chr3L,280000,289999,157,3.7794736842105263,23.34,0.1619311775582916,2.0760000000000003e-09
chr3L,290000,299999,215,0.22552631578947355,31.114999999999995,0.007248154131109548,2.0760000000000003e-09
chr3L,300000,309999,258,2.6625,44.4375,0.05991561181434597,2.0760000000000003e-09
chr3L,310000,319999,300,1.2507894736842096,44.31,0.028228153321692838,2.0760000000000003e-09
chr3L,320000,329999,368,-0.014210526315789897,54.845,-0.0002591034062501576,2.0760000000000003e-09
chr3L,330000,339999,238,1.7422368421052632,33.7475,0.051625656481376785,2.0760000000000003e-09
chr3L,340000,349999,237,1.8490789473684213,31.792500000000004,0.058160853892220525,2.0760000000000003e-09
chr3L,350000,359999,211,0.8201315789473684,28.942500000000006,0.02833658388001618,8.999e-09
chr3L,360000,369999,230,0.7686842105263156,32.02000000000001,0.02400637759295176,8.999e-09
chr3L,370000,379999,277,1.875526315789473,37.74,0.04969598081053187,8.999e-09
chr3L,380000,389999,255,1.6727631578947364,35.9925,0.04647532563436095,8.999e-09
chr3L,390000,399999,285,2.2309210526315786,42.5625,0.05241517891645412,8.999e-09
chr3L,400000,409999,211,1.4473684210526316,29.375,0.0492721164613662,8.999e-09
chr3L,410000,419999,272,3.351315789473684,44.55,0.07522594364699628,8.999e-09
chr3L,420000,429999,251,2.266578947368421,40.935,0.055370195367495316,8.999e-09
chr3L,430000,439999,235,1.2588157894736842,33.0575,0.03807958222714011,8.999e-09
chr3L,440000,449999,218,2.3368421052631567,33.975,0.06878122458464038,8.999e-09
chr3L,450000,459999,276,1.3532894736842107,45.0125,0.030064748096289045,4.153e-09
chr3L,460000,469999,238,0.35078947368421043,34.385,0.010201816887718786,4.153e-09
chr3L,470000,479999,219,3.5807894736842103,31.54,0.11353168908320263,4.153e-09
chr3L,480000,489999,256,1.305394736842105,37.2475,0.035046506123688974,4.153e-09
chr3L,490000,499999,228,2.0353947368421053,32.502500000000005,0.06262271323258534,4.153e-09
chr3L,500000,509999,106,0.5327631578947368,13.0525,0.040816943719190715,4.153e-09
chr3L,510000,519999,232,0.5568421052631577,34.27,0.016248675379724468,4.153e-09
chr3L,520000,529999,308,0.28013157894736795,48.5025,0.0057756111323615895,4.153e-09
chr3L,530000,539999,203,1.8344736842105256,29.295,0.06262070947979265,4.153e-09
chr3L,540000,549999,265,1.9368421052631573,37.925,0.05107032578149394,4.153e-09
chr3L,550000,559999,286,-0.24539473684210544,41.2375,-0.005950766579984368,4.153e-09
chr3L,560000,569999,301,2.4201315789473683,48.8425,0.049549707303012086,4.153e-09
chr3L,570000,579999,289,1.0031578947368418,40.865,0.024548094817982175,4.153e-09
chr3L,580000,589999,264,0.9936842105263156,37.69500000000001,0.02636116754281245,4.153e-09
chr3L,590000,599999,241,1.8605263157894736,31.62500000000001,0.05883087164551694,4.153e-09
chr3L,600000,609999,272,2.038815789473684,34.6625,0.05881906352610701,4.153e-09
chr3L,610000,619999,243,2.7432894736842104,39.17750000000001,0.07002206556529154,4.153e-09
chr3L,620000,629999,297,0.2647368421052629,44.045,0.00601059920774805,4.153e-09
chr3L,630000,639999,299,0.4401315789473684,41.6375,0.010570557284836229,4.153e-09
chr3L,640000,649999,276,1.7940789473684209,42.1125,0.042602052772179766,4.153e-09
chr3L,650000,659999,257,3.1106578947368417,38.4225,0.08095927893127312,1.3152e-08
chr3L,660000,669999,272,2.3164473684210525,38.4875,0.06018700535033589,1.3152e-08
chr3L,670000,679999,226,1.4492105263157895,32.615,0.044433865593002886,1.3152e-08
chr3L,680000,689999,213,2.013684210526316,33.915000000000006,0.0593744422976947,1.3152e-08
chr3L,690000,699999,262,2.3736842105263154,38.8,0.061177428106348325,1.3152e-08
chr3L,700000,709999,197,0.8168421052631578,29.555,0.027638034351654808,1.3152e-08
chr3L,710000,719999,241,2.1307894736842106,35.565,0.05991253967901618,1.3152e-08
chr3L,720000,729999,271,1.9465789473684207,40.715,0.04780987221830826,1.3152e-08
chr3L,730000,739999,258,1.3539473684210523,39.0,0.034716599190283394,1.3152e-08
chr3L,740000,749999,214,2.382631578947368,33.18000000000001,0.07180927001046919,1.3152e-08
chr3L,750000,759999,249,2.6006578947368406,37.3875,0.06955955586056413,2.4229e-08
chr3L,760000,769999,212,0.2052631578947366,29.800000000000004,0.0068880254327092815,2.4229e-08
chr3L,770000,779999,256,3.1246052631578953,39.8325,0.07844361421346628,2.4229e-08
chr3L,780000,789999,214,2.139605263157895,33.29750000000001,0.06425723442174021,2.4229e-08
chr3L,790000,799999,269,1.4042105263157891,38.44500000000001,0.03652517951140041,2.4229e-08
chr3L,800000,809999,230,1.1468421052631577,34.31,0.0334258847351547,2.4229e-08
chr3L,810000,819999,231,1.8292105263157887,33.370000000000005,0.05481601816948722,2.4229e-08
chr3L,820000,829999,272,5.490263157894735,44.21,0.12418600221431204,2.4229e-08
chr3L,830000,839999,239,3.9130263157894736,34.8525,0.1122739061986794,2.4229e-08
chr3L,840000,849999,237,2.2493421052631577,37.0375,0.060731477698634025,2.4229e-08
chr3L,850000,859999,220,0.9232894736842104,31.1075,0.02968060672455872,1.4537e-08
chr3L,860000,869999,288,2.435263157894737,44.155,0.05515260237560269,1.4537e-08
chr3L,870000,879999,236,3.001842105263158,34.315,0.08747900641885932,1.4537e-08
chr3L,880000,889999,258,2.3209210526315798,36.50250000000001,0.06358252318694826,1.4537e-08
